CustomerID,Segment,ML_Cluster,Churn_Risk_Tier,P_Alive_Pct,Churn_Risk_Pct,Recency,Frequency,Monetary,Tenure,AvgOrderValue,TopCategory,R_Score,F_Score,M_Score,T_Score,RFM_Score,RFMT_Mean,Expected_Orders_90d,Predicted_Spend_90d,Predictive_CLV_90d,PCA_1,PCA_2,PCA_3,Strategic_Objective,Recommended_Channel,Recommended_Promotion,Primary_Action_Item,Campaign_Email_Subject,Campaign_CTA,FirstPurchase,LastPurchase,TotalItems,TotalTransactions
CUST-0243,Champions,Cluster 3,🟢 Low Churn Risk,92.8,7.2,13,13,18657.65,561,1435.2,Electronics & Audio,5,4,5,4,545,4.5,1.91,2739.77,958.92,1.6765,-0.9285,0.3546,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-02-05 16:02:22,2026-08-07 16:28:31,85,20
CUST-0242,Champions,Cluster 3,🟢 Low Churn Risk,90.9,9.1,9,21,18645.27,391,887.87,Electronics & Audio,5,5,5,3,555,4.5,4.02,3573.56,1250.75,1.9164,-1.4135,0.2165,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-07-25 09:50:18,2026-08-11 12:54:10,117,32
CUST-0421,Champions,Cluster 3,🟢 Low Churn Risk,92.9,7.1,7,22,17504.39,526,795.65,Smart Office & Furniture,5,5,5,4,555,4.75,3.31,2634.23,921.98,2.0692,-1.3998,0.5234,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-03-12 16:42:53,2026-08-13 15:05:00,110,32
CUST-0260,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,347,16,17381.59,534,1086.35,Electronics & Audio,1,5,5,4,155,3.75,0.05,56.62,19.82,1.7322,0.9899,-1.0489,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-03-04 11:44:27,2025-09-06 22:09:01,93,23
CUST-0146,Champions,Cluster 3,🟢 Low Churn Risk,88.3,11.7,14,22,17327.69,457,787.62,Wearables & Fitness,5,5,5,3,555,4.5,3.57,2808.3,982.9,1.9874,-1.0834,0.1657,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-05-19 22:28:55,2026-08-06 09:18:30,97,27
CUST-0090,Champions,Cluster 3,🟢 Low Churn Risk,94.5,5.5,3,18,17315.73,486,961.98,Electronics & Audio,5,5,5,4,555,4.75,2.99,2875.98,1006.59,1.8717,-1.8235,0.7916,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-04-21 08:49:25,2026-08-17 16:07:16,98,27
CUST-0060,Champions,Cluster 3,🟢 Low Churn Risk,88.1,11.9,20,22,16878.1,639,767.19,Smart Office & Furniture,4,5,5,5,455,4.75,2.63,2018.14,706.35,2.1244,-0.7028,0.2502,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2024-11-19 10:44:25,2026-07-31 11:39:34,120,32
CUST-0006,At-Risk VIPs,Cluster 3,🔴 High Churn Risk,2.7,97.3,192,14,16285.51,608,1163.25,Electronics & Audio,2,4,5,5,245,4.0,0.06,65.34,22.87,1.6636,0.7302,-0.6764,Immediate intervention to reignite brand affinity before permanent churn occurs.,High-Priority Win-Back Email / SMS / Direct Outreach,"High-Value Reactivation Voucher (20-25% off), Free Renewal",Send personalized executive outreach asking for direct feedback.,"⚠️ We miss you, {Customer_Name} — Here is 25% off your return",Reclaim Your 25% Discount,2024-12-20 15:48:18,2026-02-08 22:59:20,100,23
CUST-0314,Champions,Cluster 3,🟢 Low Churn Risk,93.8,6.2,6,19,16107.11,580,847.74,Electronics & Audio,5,5,5,4,555,4.75,2.66,2258.22,790.38,1.956,-1.3898,0.6874,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-01-17 17:47:44,2026-08-14 13:55:03,103,28
CUST-0363,Champions,Cluster 3,🟢 Low Churn Risk,78.8,21.2,26,18,16014.22,407,889.68,Smart Office & Furniture,4,5,5,3,455,4.25,2.92,2594.43,908.05,1.7179,-0.7284,-0.1153,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-07-09 09:59:37,2026-07-25 08:30:07,90,27
CUST-0170,Champions,Cluster 3,🟢 Low Churn Risk,89.8,10.2,12,19,15604.0,402,821.26,Electronics & Audio,5,5,5,3,555,4.5,3.53,2900.58,1015.2,1.7601,-1.1903,0.1933,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-07-14 14:35:33,2026-08-08 17:54:06,109,29
CUST-0005,Champions,Cluster 3,🟢 Low Churn Risk,80.9,19.1,24,22,15334.96,494,697.04,Electronics & Audio,4,5,5,4,455,4.5,3.05,2126.07,744.12,1.9591,-0.7112,0.0399,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-04-13 18:45:24,2026-07-27 14:03:40,91,25
CUST-0007,Champions,Cluster 3,🟢 Low Churn Risk,93.2,6.8,8,15,15334.19,456,1022.28,Electronics & Audio,5,5,5,3,555,4.5,2.63,2690.77,941.77,1.6199,-1.3024,0.462,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-05-21 17:09:48,2026-08-12 14:21:53,65,18
CUST-0025,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,322,12,15238.26,474,1269.86,Electronics & Audio,1,4,5,3,145,3.25,0.04,56.5,19.78,1.3818,0.961,-1.0225,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-05-03 14:42:25,2025-10-01 21:43:24,84,19
CUST-0282,Champions,Cluster 3,🟢 Low Churn Risk,77.6,22.4,28,22,15022.23,510,682.83,Electronics & Audio,4,5,5,4,455,4.5,2.84,1941.29,679.45,1.9618,-0.6006,0.0043,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-03-28 10:54:04,2026-07-23 17:35:12,100,29
CUST-0154,Champions,Cluster 3,🟢 Low Churn Risk,87.7,12.3,16,16,14943.97,363,934.0,Electronics & Audio,5,5,5,3,555,4.5,3.21,2995.95,1048.58,1.5444,-1.0361,0.043,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-08-22 11:34:33,2026-08-03 21:38:30,102,24
CUST-0271,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,324,15,14858.06,450,990.54,Electronics & Audio,1,5,5,3,155,3.5,0.06,56.64,19.82,1.5305,0.8985,-1.0716,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-05-27 14:42:39,2025-09-30 16:45:23,94,24
CUST-0079,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,269,13,14824.44,510,1140.34,Electronics & Audio,1,4,5,4,145,3.5,0.04,51.14,17.9,1.4726,0.8767,-0.8959,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-03-28 17:19:09,2025-11-24 20:37:52,75,17
CUST-0306,At-Risk VIPs,Cluster 3,🔴 High Churn Risk,2.0,98.0,217,13,14657.3,570,1127.48,Electronics & Audio,2,4,5,4,245,3.75,0.04,45.74,16.01,1.5232,0.8034,-0.7275,Immediate intervention to reignite brand affinity before permanent churn occurs.,High-Priority Win-Back Email / SMS / Direct Outreach,"High-Value Reactivation Voucher (20-25% off), Free Renewal",Send personalized executive outreach asking for direct feedback.,"⚠️ We miss you, {Customer_Name} — Here is 25% off your return",Reclaim Your 25% Discount,2025-01-27 15:13:17,2026-01-15 11:03:48,93,19
CUST-0176,Champions,Cluster 3,🟢 Low Churn Risk,91.6,8.4,14,20,14646.25,668,732.31,Smart Office & Furniture,5,5,5,5,555,5.0,2.4,1757.9,615.27,2.0075,-0.8456,0.4814,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2024-10-21 12:04:16,2026-08-06 20:47:21,86,32
CUST-0410,At-Risk VIPs,Cluster 3,🔴 High Churn Risk,6.5,93.5,201,13,14614.79,688,1124.21,Electronics & Audio,2,4,5,5,245,4.0,0.11,124.67,43.63,1.6105,0.8524,-0.5706,Immediate intervention to reignite brand affinity before permanent churn occurs.,High-Priority Win-Back Email / SMS / Direct Outreach,"High-Value Reactivation Voucher (20-25% off), Free Renewal",Send personalized executive outreach asking for direct feedback.,"⚠️ We miss you, {Customer_Name} — Here is 25% off your return",Reclaim Your 25% Discount,2024-09-30 21:41:48,2026-01-30 22:43:11,79,17
CUST-0269,Champions,Cluster 3,🟢 Low Churn Risk,93.2,6.8,5,19,14426.05,362,759.27,Electronics & Audio,5,5,5,3,555,4.5,4.01,3048.18,1066.86,1.6915,-1.706,0.4827,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-08-23 20:00:55,2026-08-15 12:10:34,91,27
CUST-0008,Champions,Cluster 3,🟢 Low Churn Risk,81.8,18.2,19,21,14332.21,389,682.49,Electronics & Audio,4,5,5,3,455,4.25,3.64,2485.42,869.9,1.7832,-0.9493,0.0068,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-07-27 08:46:37,2026-08-01 19:26:55,100,30
CUST-0046,Champions,Cluster 3,🟢 Low Churn Risk,91.2,8.8,15,20,14077.42,656,703.87,Electronics & Audio,5,5,5,5,555,5.0,2.43,1709.71,598.4,1.9802,-0.8089,0.4555,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2024-11-02 11:30:42,2026-08-05 21:25:31,95,29
CUST-0365,At-Risk VIPs,Cluster 3,🔴 High Churn Risk,4.2,95.8,148,13,14011.51,469,1077.81,Smart Office & Furniture,2,4,5,3,245,3.5,0.1,109.91,38.47,1.4201,0.4779,-0.6768,Immediate intervention to reignite brand affinity before permanent churn occurs.,High-Priority Win-Back Email / SMS / Direct Outreach,"High-Value Reactivation Voucher (20-25% off), Free Renewal",Send personalized executive outreach asking for direct feedback.,"⚠️ We miss you, {Customer_Name} — Here is 25% off your return",Reclaim Your 25% Discount,2025-05-07 22:00:53,2026-03-25 19:36:38,74,22
CUST-0174,Champions,Cluster 3,🟢 Low Churn Risk,92.4,7.6,11,20,13850.7,647,692.54,Computer Accessories,5,5,5,5,555,5.0,2.49,1727.66,604.68,1.9721,-0.9901,0.5752,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2024-11-11 09:17:24,2026-08-09 13:16:06,120,29
CUST-0263,Champions,Cluster 3,🟢 Low Churn Risk,85.1,14.9,26,15,13847.14,458,923.14,Smart Office & Furniture,4,5,5,3,455,4.25,2.39,2210.28,773.6,1.5552,-0.6095,0.0295,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-05-19 21:21:33,2026-07-25 21:21:51,73,22
CUST-0409,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,301,16,13833.3,469,864.58,Electronics & Audio,1,5,5,3,155,3.5,0.06,50.6,17.71,1.5729,0.8727,-0.9947,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-05-08 10:15:17,2025-10-23 18:58:29,74,22
CUST-0042,Champions,Cluster 3,🟢 Low Churn Risk,88.5,11.5,26,17,13693.43,677,805.5,Smart Office & Furniture,4,5,5,5,455,4.75,1.97,1584.22,554.48,1.8357,-0.4347,0.2773,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2024-10-12 16:23:04,2026-07-25 13:25:20,77,21
CUST-0144,Champions,Cluster 3,🟢 Low Churn Risk,93.5,6.5,9,15,13490.21,595,899.35,Electronics & Audio,5,5,5,5,555,5.0,2.08,1871.55,655.04,1.6839,-1.0829,0.6352,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-01-02 09:13:34,2026-08-11 13:56:30,84,23
CUST-0188,Champions,Cluster 3,🟢 Low Churn Risk,92.0,8.0,9,13,13337.0,314,1025.92,Electronics & Audio,5,4,5,2,545,4.0,3.14,3225.64,1128.97,1.2646,-1.3765,0.2343,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-10-10 10:03:06,2026-08-11 18:09:53,60,16
CUST-0081,At-Risk VIPs,Cluster 3,🔴 High Churn Risk,2.0,98.0,214,16,13179.65,554,823.73,Computer Accessories,2,5,5,4,255,4.0,0.05,41.54,14.54,1.635,0.756,-0.7235,Immediate intervention to reignite brand affinity before permanent churn occurs.,High-Priority Win-Back Email / SMS / Direct Outreach,"High-Value Reactivation Voucher (20-25% off), Free Renewal",Send personalized executive outreach asking for direct feedback.,"⚠️ We miss you, {Customer_Name} — Here is 25% off your return",Reclaim Your 25% Discount,2025-02-12 08:13:09,2026-01-18 13:56:05,78,20
CUST-0010,At-Risk VIPs,Cluster 3,🟡 Moderate Watch,55.4,44.6,94,14,13168.24,703,940.59,Smart Office & Furniture,2,4,5,5,245,4.0,0.99,935.07,327.28,1.6497,0.4017,-0.2047,Immediate intervention to reignite brand affinity before permanent churn occurs.,High-Priority Win-Back Email / SMS / Direct Outreach,"High-Value Reactivation Voucher (20-25% off), Free Renewal",Send personalized executive outreach asking for direct feedback.,"⚠️ We miss you, {Customer_Name} — Here is 25% off your return",Reclaim Your 25% Discount,2024-09-16 13:43:50,2026-05-18 21:25:40,64,20
CUST-0425,Can't Lose Them,Cluster 3,🔴 High Churn Risk,2.0,98.0,327,16,13082.73,515,817.67,Electronics & Audio,1,5,5,4,155,3.75,0.05,44.03,15.41,1.5898,0.9796,-0.9496,"High-touch, high-urgency win-back campaigns and qualitative feedback discovery.",Executive Win-back Email / Phone Concierge / High-Incentive Push,"Aggressive 30% Off Voucher, Complimentary Premium Gift",Deploy 'Voice of Customer' survey with a substantial gift card incentive.,🚨 An urgent message from our leadership team,Restore My VIP Status,2025-03-23 20:36:42,2025-09-27 09:36:27,75,20
CUST-0097,Champions,Cluster 3,🟢 Low Churn Risk,89.9,10.1,20,19,12803.1,685,673.85,Wearables & Fitness,4,5,5,5,455,4.75,2.19,1478.62,517.52,1.9094,-0.5949,0.405,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2024-10-03 22:07:12,2026-07-31 15:54:41,89,26
CUST-0383,Champions,Cluster 3,🟢 Low Churn Risk,87.5,12.5,16,18,12718.34,399,706.57,Electronics & Audio,5,5,5,3,555,4.5,3.29,2326.2,814.17,1.6148,-0.9865,0.1491,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-07-17 11:30:02,2026-08-04 17:43:42,90,24
CUST-0145,Champions,Cluster 3,🟢 Low Churn Risk,89.6,10.4,12,16,12702.44,335,793.9,Electronics & Audio,5,5,5,2,555,4.25,3.51,2788.02,975.81,1.4399,-1.2161,0.1613,"Reward loyalty, maximize retention, elevate brand advocacy, and introduce exclusive high-ticket drops.",VIP Concierge / Direct Email / Exclusive Portal,"VIP Early Access, Concierge Perks, Loyalty Multipliers",Grant 48-hour early access to upcoming product lines.,👑 VIP Exclusive: You have first access to our flagship release,Explore Private Drop,2025-09-19 15:22:46,2026-08-08 21:17:46,71,21
