InvoiceNo,CustomerID,PurchaseDate,ProductCategory,Product,Quantity,UnitPrice,TotalSpend
INV-102764,CUST-0231,2024-12-08 08:34:48,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,3,38.4,115.2
INV-101117,CUST-0316,2024-12-08 11:13:06,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,1,36.06,36.06
INV-101081,CUST-0176,2024-12-08 15:14:05,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,36.53,109.59
INV-103555,CUST-0198,2024-12-08 15:23:33,Computer Accessories,Custom Mechanical RGB Keyboard,3,178.71,536.13
INV-103186,CUST-0192,2024-12-08 16:05:22,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,2,38.84,77.68
INV-103186,CUST-0192,2024-12-08 19:55:28,Computer Accessories,Premium Aluminum Monitor Arm,1,68.19,68.19
INV-103186,CUST-0192,2024-12-08 22:34:54,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,34.24,102.72
INV-102764,CUST-0231,2024-12-08 22:47:00,Wearables & Fitness,Titanium GPS Smart Fitness Watch,3,254.89,764.67
INV-102726,CUST-0031,2024-12-09 09:56:39,Smart Office & Furniture,Smart LED Desk Bar Lamp,1,53.53,53.53
INV-103728,CUST-0337,2024-12-09 12:45:50,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,2,33.2,66.4
INV-103728,CUST-0337,2024-12-09 20:16:48,Smart Office & Furniture,Smart LED Desk Bar Lamp,1,47.42,47.42
INV-103801,CUST-0108,2024-12-09 21:53:39,Smart Office & Furniture,Smart LED Desk Bar Lamp,2,48.36,96.72
INV-102015,CUST-0165,2024-12-10 16:19:40,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,31.37,94.11
INV-101825,CUST-0304,2024-12-11 15:06:20,Computer Accessories,Premium Aluminum Monitor Arm,1,63.6,63.6
INV-100209,CUST-0174,2024-12-11 20:34:50,Computer Accessories,Custom Mechanical RGB Keyboard,5,161.68,808.4
INV-100959,CUST-0046,2024-12-13 11:03:43,Computer Accessories,Premium Aluminum Monitor Arm,1,72.47,72.47
INV-101759,CUST-0073,2024-12-13 21:01:02,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,2,496.07,992.14
INV-103708,CUST-0443,2024-12-14 14:35:23,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,1,482.27,482.27
INV-103769,CUST-0237,2024-12-15 09:43:55,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,31.63,63.26
INV-102765,CUST-0231,2024-12-15 13:57:09,Wearables & Fitness,Titanium GPS Smart Fitness Watch,1,265.41,265.41
INV-103769,CUST-0237,2024-12-15 15:27:02,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,1,461.88,461.88
INV-102765,CUST-0231,2024-12-15 16:27:00,Smart Office & Furniture,Motorized Standing Desk Frame,5,402.44,2012.2
INV-102016,CUST-0165,2024-12-16 13:56:39,Electronics & Audio,4K Curved Ultra-Wide Gaming Monitor,2,518.58,1037.16
INV-100210,CUST-0174,2024-12-16 16:50:31,Computer Accessories,Premium Aluminum Monitor Arm,6,70.15,420.9
INV-100849,CUST-0078,2024-12-16 19:50:19,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,36.32,108.96
INV-102090,CUST-0159,2024-12-18 10:22:35,Electronics & Audio,Thunderbolt 4 Docking Station,3,185.77,557.31
INV-103846,CUST-0361,2024-12-18 18:32:27,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,1,275.59,275.59
INV-102798,CUST-0345,2024-12-19 11:29:53,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,1,326.05,326.05
INV-102017,CUST-0165,2024-12-19 20:15:58,Computer Accessories,Custom Mechanical RGB Keyboard,3,148.14,444.42
INV-103781,CUST-0369,2024-12-19 20:34:43,Electronics & Audio,Noise-Cancelling Studio Pro Headphones,2,285.62,571.24
INV-103689,CUST-0384,2024-12-20 08:07:25,Wearables & Fitness,Heart Rate Performance Sensor Band,2,84.44,168.88
INV-103476,CUST-0006,2024-12-20 15:48:18,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,6,94.02,564.12
INV-103504,CUST-0129,2024-12-20 18:29:14,Wearables & Fitness,Heart Rate Performance Sensor Band,4,105.94,423.76
INV-101826,CUST-0304,2024-12-20 21:33:06,Computer Accessories,Custom Mechanical RGB Keyboard,4,149.7,598.8
INV-101826,CUST-0304,2024-12-20 22:13:52,Computer Accessories,Custom Mechanical RGB Keyboard,2,148.38,296.76
INV-101615,CUST-0216,2024-12-22 12:22:52,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,4,77.2,308.8
INV-101615,CUST-0216,2024-12-22 22:24:56,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),1,32.11,32.11
INV-103053,CUST-0030,2024-12-23 19:55:43,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,1,86.78,86.78
INV-103330,CUST-0002,2024-12-25 09:59:15,Smart Office & Furniture,Ergonomic Lumbar Executive Chair,2,323.68,647.36
INV-100756,CUST-0060,2024-12-26 11:56:19,Wearables & Fitness,Heart Rate Performance Sensor Band,6,97.15,582.9
INV-100756,CUST-0060,2024-12-26 13:24:46,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,1,90.04,90.04
INV-102679,CUST-0320,2024-12-26 16:29:37,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,5,83.61,418.05
INV-100053,CUST-0180,2024-12-27 17:20:10,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),2,35.26,70.52
INV-103589,CUST-0410,2024-12-27 19:42:30,Apparel & Lifestyle,Full-Grain Leather Briefcase Sleeve,3,101.98,305.94
INV-102727,CUST-0031,2024-12-28 21:49:12,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,2,81.36,162.72
INV-102027,CUST-0015,2024-12-29 18:21:59,Electronics & Audio,Thunderbolt 4 Docking Station,1,186.19,186.19
INV-100378,CUST-0160,2024-12-29 19:43:59,Computer Accessories,Custom Mechanical RGB Keyboard,5,161.94,809.7
INV-103690,CUST-0384,2024-12-29 21:43:18,Computer Accessories,Custom Mechanical RGB Keyboard,2,145.29,290.58
INV-102897,CUST-0238,2024-12-30 16:20:15,Smart Office & Furniture,Motorized Standing Desk Frame,4,409.53,1638.12
INV-101773,CUST-0197,2024-12-31 22:33:08,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,3,80.86,242.58
INV-103114,CUST-0251,2025-01-01 10:45:33,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,1,38.1,38.1
INV-100644,CUST-0241,2025-01-01 11:18:10,Smart Office & Furniture,Smart LED Desk Bar Lamp,5,53.74,268.7
INV-103114,CUST-0251,2025-01-01 13:47:02,Wearables & Fitness,Titanium GPS Smart Fitness Watch,2,267.79,535.58
INV-100644,CUST-0241,2025-01-01 17:48:00,Wearables & Fitness,Titanium GPS Smart Fitness Watch,1,265.12,265.12
INV-103114,CUST-0251,2025-01-01 19:40:59,Computer Accessories,Ergonomic Multi-Device Wireless Mouse,3,83.28,249.84
INV-101637,CUST-0213,2025-01-01 20:44:32,Wearables & Fitness,Titanium GPS Smart Fitness Watch,3,242.18,726.54
INV-102557,CUST-0433,2025-01-01 22:53:54,Wearables & Fitness,Heart Rate Performance Sensor Band,5,91.29,456.45
INV-100726,CUST-0152,2025-01-02 08:32:06,Wearables & Fitness,Titanium GPS Smart Fitness Watch,5,264.62,1323.1
INV-100323,CUST-0144,2025-01-02 09:13:34,Apparel & Lifestyle,Thermal Double-Wall Stainless Flask,6,39.36,236.16
INV-101215,CUST-0095,2025-01-02 14:32:47,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,33.24,99.72
INV-101215,CUST-0095,2025-01-02 20:25:12,Smart Office & Furniture,Smart LED Desk Bar Lamp,1,50.93,50.93
INV-101760,CUST-0073,2025-01-03 11:06:11,Specialty Gourmet,Single-Origin Espresso Bean Subscription (1kg),3,33.64,100.92
